cluster,,25
opt,,
planning_horizon,,2050
component,carrier,
Generator,biogas,0.0
Generator,gas,0.5290629376158615
Generator,oil primary,0.9821970465334292
Generator,onwind,0.0979995660834809
Generator,ror,0.3293041343096117
Generator,rural heat vent,0.661812275780714
Generator,rural solar thermal,0.0294117647058823
Generator,solar,0.0353125046960643
Generator,solar rooftop,0.0481927710843373
Generator,solar-hsat,0.0823529411764705
Generator,solid biomass,9.491689768902168e-05
Generator,urban central heat vent,0.7798230070672072
Generator,urban central solar thermal,0.0238095238095238
Generator,urban decentral heat vent,0.7958475403625721
Generator,urban decentral solar thermal,0.0294117647058823
Line,AC,0.165380585761507
Load,H2 for industry,
Load,agriculture electricity,
Load,agriculture heat,
Load,agriculture machinery oil,
Load,electricity,
Load,gas for industry,
Load,industry electricity,
Load,industry methanol,
Load,kerosene for aviation,
Load,land transport EV,
Load,low-temperature heat for industry,
Load,naphtha for industry,
Load,process emissions,
Load,rural heat,
Load,shipping methanol,
Load,solid biomass for industry,
Load,urban central heat,
Load,urban decentral heat,
StorageUnit,PHS,0.0683214319386042
StorageUnit,hydro,0.4012685705884515
